fname,location,year,camera,path
01.JPG,baltimore,2021,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/01.JPG
02.JPG,washington dc,2021,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/02.JPG
03.jpeg,baltimore,2022,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/03.jpeg
04.jpg,baltimore,2021,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/04.jpg
05.JPG,seattle,2018,iPhone 6S,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/05.JPG
06.JPG,new york city,2021,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/06.JPG
07.jpg,new york city,2021,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/07.jpg
08.png,montreal,2017,iPhone 6S,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/08.png
09.heic,philadelphia,2019,iPhone 6S,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/09.heic
10.JPG,baltimore,2021,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/10.JPG
11.JPG,atlanta,2017,iPhone 6S,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/11.JPG
12.JPG,washington dc,2018,iPhone 6S,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/12.JPG
13.jpg,washington dc,2019,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/13.jpg
14.png,montreal,2016,Galaxy S5,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/14.png
15.JPG,baltimore,2019,iPhone 6S,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/15.JPG
16.JPG,philadelphia,2018,iPhone 6S,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/16.JPG
17.JPG,washington dc,2018,iPhone 6S,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/17.JPG
18.JPG,baltimore,2022,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/18.JPG
19.JPG,pittsburgh,2017,iPhone 6S,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/19.JPG
20.JPG,chicago,2018,iPhone 6S,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/20.JPG
21.JPG,alexandria,2018,iPhone 6S,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/21.JPG
22.JPG,baltimore,2022,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/22.JPG
23.heic,baltimore,2019,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/23.heic
